model_id,task_id,score,reported_by,url,notes
qwen3-vl-4b,mathvista,73.7,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,blink,65.8,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,chartqa,89.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,docvqa,96.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,infovqa,83.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,textvqa,82.8,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,vqav2,82.3,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,rwqa,71.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,mmmu,69.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,mathvista,77.2,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-8b,blink,69.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,chartqa,86.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,docvqa,93.2,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,infovqa,80.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,textvqa,85.7,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,vqav2,87.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,rwqa,77.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,mmmu,53.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,mathvista,58.9,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-8b,blink,50.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
moondream3-preview,docvqa,88.3,Moondream,https://docs.moondream.ai/#performance-benchmarks,
moondream3-preview,chartqa,86.6,Moondream,https://docs.moondream.ai/#performance-benchmarks,
